"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.465802090E-1,8.345931768E-3,6.647777557E-2,-6.779003143E-1,6.812031895E-1
5.515960940E-1,4.735538363E-2,8.514881134E-2,-6.980566978E-1,7.048233863E-1
5.566118230E-1,5.039413273E-2,1.015605927E-1,-7.353610992E-1,7.440497758E-1
5.616277090E-1,8.229225874E-3,9.897279739E-2,-7.255930901E-1,7.323582915E-1
5.666435420E-1,2.142955363E-2,1.012687683E-1,-6.692543030E-1,6.772118659E-1
5.716592710E-1,6.530454755E-2,1.080579758E-1,-5.926809311E-1,6.059801120E-1
5.766751570E-1,5.400703847E-2,1.238675117E-1,-5.505447388E-1,5.668857293E-1
5.816908860E-1,3.836333752E-2,1.225609779E-1,-5.094013214E-1,5.253405041E-1
5.867067710E-1,5.374912918E-2,1.182198524E-1,-5.022673607E-1,5.187845449E-1
5.917226050E-1,6.175041199E-2,9.663724899E-2,-5.051755905E-1,5.180291966E-1
5.967383340E-1,3.888867795E-2,6.968784332E-2,-4.918627739E-1,4.982948054E-1
6.017542190E-1,3.773126006E-2,4.888296127E-2,-4.028286934E-1,4.075342294E-1
6.067699480E-1,5.077707767E-2,3.876352310E-2,-3.121962547E-1,3.186650652E-1
6.117858340E-1,5.891759694E-2,2.025222778E-2,-2.722220421E-1,2.792602302E-1
6.168016670E-1,4.113812745E-2,-9.226799011E-3,-2.679920197E-1,2.712880424E-1
6.218173960E-1,4.477624595E-2,-2.618837357E-2,-1.968202591E-1,2.035410462E-1
6.268332820E-1,3.877654672E-2,-4.779005051E-2,-1.229391098E-1,1.374828506E-1
6.318491150E-1,4.242376983E-2,-8.141899109E-2,-9.260177612E-4,9.181332074E-2
6.368648440E-1,5.063866079E-2,-1.414260864E-1,7.408332825E-2,1.674931384E-1
6.418807300E-1,2.564458549E-2,-2.016668320E-1,1.763324738E-1,2.691101952E-1
6.468964590E-1,2.690766752E-2,-2.338247299E-1,2.488522530E-1,3.425280583E-1
6.519123440E-1,4.003812373E-2,-2.477355003E-1,3.086977005E-1,3.978318738E-1
6.569281770E-1,3.195551038E-2,-2.338352203E-1,3.297162056E-1,4.054785335E-1
6.619439070E-1,3.347684443E-2,-2.612237930E-1,2.647833824E-1,3.734552299E-1
6.669597920E-1,4.205700755E-2,-2.795462608E-1,1.976189613E-1,3.449176100E-1
6.719755210E-1,5.276688188E-2,-2.794218063E-1,1.996397972E-1,3.474434318E-1
6.769914070E-1,1.096588373E-2,-2.918419838E-1,2.371058464E-1,3.761797131E-1
6.820072400E-1,1.473984122E-2,-3.048367500E-1,2.694697380E-1,4.071322227E-1
6.870229690E-1,5.912829936E-2,-3.039360046E-1,2.633552551E-1,4.064839986E-1
6.920388550E-1,8.164423704E-2,-3.295593262E-1,2.427997589E-1,4.174049039E-1
6.970545840E-1,2.556730807E-2,-3.362808228E-1,2.102808952E-1,3.974374591E-1
7.020704690E-1,3.637298942E-2,-3.361592293E-1,1.993026733E-1,3.924889519E-1
7.070863020E-1,6.151093543E-2,-3.411345482E-1,1.931934357E-1,3.968375974E-1
7.121020320E-1,6.508840621E-2,-3.559617996E-1,2.134776115E-1,4.201404456E-1
7.171179170E-1,5.431345105E-2,-4.021735191E-1,2.627673149E-1,4.834668057E-1
7.221336460E-1,7.933054119E-2,-3.914794922E-1,3.099489212E-1,5.055866507E-1
7.271495320E-1,3.770671785E-2,-4.502372742E-1,3.670496941E-1,5.821175805E-1
7.321653650E-1,1.781395078E-2,-4.852728844E-1,3.795375824E-1,6.163244970E-1
7.371810940E-1,6.235542893E-2,-5.014376640E-1,4.048719406E-1,6.474945704E-1
7.421969800E-1,5.684679002E-2,-5.058445930E-1,4.072823524E-1,6.519119760E-1
7.472128130E-1,1.349566877E-2,-5.509371758E-1,3.872480392E-1,6.735539686E-1
7.522285420E-1,5.862483382E-2,-5.626664162E-1,4.591941833E-1,7.286217572E-1
7.572444270E-1,6.007979810E-2,-5.313720703E-1,5.436186790E-1,7.625530326E-1
7.622601570E-1,3.552558273E-2,-5.116443634E-1,3.166227341E-1,6.027370715E-1
7.672760420E-1,3.955975175E-3,-5.482130051E-1,2.031164169E-1,5.846447019E-1
7.722918750E-1,3.687758744E-2,-5.742473602E-1,4.582929611E-2,5.772523812E-1
7.773076050E-1,3.612364829E-2,-5.517005920E-1,1.305317879E-1,5.680818681E-1
7.823234900E-1,1.876577735E-2,-5.784406662E-1,2.062439919E-1,6.143959170E-1
7.873392190E-1,6.347095221E-2,-5.945796967E-1,2.921171188E-1,6.654967983E-1
7.923551050E-1,6.758373231E-2,-5.929527283E-1,3.501229286E-1,6.919151422E-1
7.973709380E-1,5.747596174E-2,-6.304388046E-1,3.181750774E-1,7.085139042E-1
8.023866670E-1,7.827086002E-2,-6.115036011E-1,2.134735584E-1,6.524062705E-1
8.074025520E-1,4.426909983E-2,-6.195802689E-1,1.362605095E-1,6.359295474E-1
8.124182820E-1,1.779174805E-2,-6.424140930E-1,7.192945480E-2,6.466732248E-1
8.174341670E-1,8.186258376E-2,-6.369743347E-1,5.606698990E-2,6.446559494E-1
8.224500000E-1,1.291646212E-1,-6.436853409E-1,8.575034142E-2,6.620932249E-1
8.274657300E-1,5.238746107E-2,-6.100330353E-1,9.406042099E-2,6.194611473E-1
8.324816150E-1,3.800903261E-2,-6.336164474E-1,7.366538048E-2,6.390157098E-1
8.374973440E-1,1.024918035E-1,-6.379308701E-1,-3.539562225E-3,6.461214230E-1
8.425132300E-1,1.025115326E-1,-6.109600067E-1,-4.491925240E-2,6.211267853E-1
