"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.416888170E-1,-2.841005325E-1,-6.901550293E-2,7.889314741E-2,3.028207076E-1
8.467049630E-1,-2.887372971E-1,-6.275010109E-2,1.491973847E-1,3.310085520E-1
8.517210570E-1,-2.434110641E-1,-6.346249580E-2,2.197398990E-1,3.340090684E-1
8.567372030E-1,-1.723127365E-1,-8.542203903E-2,2.377014905E-1,3.057623301E-1
8.617532960E-1,-1.183195114E-1,-1.164157391E-1,2.435701787E-1,2.947516973E-1
8.667694420E-1,-3.617763519E-2,-1.468722820E-1,1.727629602E-1,2.296243213E-1
8.717855360E-1,6.203079224E-2,-1.814877987E-1,9.248541296E-2,2.129300164E-1
8.768016820E-1,9.310531616E-2,-1.845605373E-1,1.960892975E-2,2.076432083E-1
8.818177760E-1,1.502161026E-1,-1.657953262E-1,-7.301690057E-3,2.238443262E-1
8.868339210E-1,1.642484665E-1,-1.563475132E-1,-2.297852188E-3,2.267760652E-1
8.918500150E-1,1.854534149E-1,-1.299419403E-1,2.537847310E-2,2.278638713E-1
8.968661610E-1,2.042379379E-1,-1.247894764E-1,3.000340983E-2,2.412172326E-1
9.018822550E-1,2.373743057E-1,-5.494332314E-2,-2.878643200E-2,2.453446320E-1
9.068984010E-1,2.609157562E-1,4.325103760E-2,-9.857521951E-2,2.822494606E-1
9.119144940E-1,2.251415253E-1,1.340539455E-1,-1.350441873E-1,2.947814432E-1
9.169305880E-1,2.541818619E-1,2.393028736E-1,-1.032816991E-1,3.640623485E-1
9.219467340E-1,3.211412430E-1,2.870795727E-1,-4.483894259E-2,4.330784106E-1
9.269628280E-1,1.000328064E-1,2.436957359E-1,7.623280585E-2,2.742364213E-1
9.319789740E-1,-2.170906067E-1,1.947555542E-1,2.857732177E-1,4.083189799E-1
9.369950670E-1,-4.657764435E-1,1.613171101E-1,4.602045417E-1,6.743583065E-1
9.420112130E-1,-5.777883530E-1,1.051805019E-1,5.574354529E-1,8.097139019E-1
9.470273070E-1,-4.826192856E-1,4.648542404E-2,5.972983241E-1,7.693162922E-1
9.520434530E-1,-1.983633041E-1,4.818439484E-3,5.851268768E-1,6.178549019E-1
9.570595460E-1,1.313505173E-1,-1.670980453E-2,5.471670628E-1,5.629600079E-1
9.620756920E-1,3.851337433E-1,-4.659366608E-2,5.004734397E-1,6.332239997E-1
9.670917860E-1,5.305233002E-1,-8.683538437E-2,4.354463518E-1,6.918156411E-1
9.721079320E-1,6.395101547E-1,-8.304548264E-2,3.809418976E-1,7.489903334E-1
9.771240260E-1,7.124137878E-1,-1.234090328E-1,3.155539632E-1,7.888837038E-1
9.821401710E-1,7.754526138E-1,-7.741832733E-2,2.441795021E-1,8.166663841E-1
9.871562650E-1,7.574100494E-1,-7.178640366E-2,1.739301234E-1,7.804325458E-1
9.921724110E-1,7.133865356E-1,-2.346467972E-2,1.101951301E-1,7.222284314E-1
9.971885050E-1,6.530056000E-1,4.800558090E-2,8.146601170E-2,6.598163081E-1
1.002204651E0,5.976037979E-1,1.064658165E-1,5.897302553E-2,6.098713693E-1
1.007220744E0,5.518999100E-1,1.401810646E-1,7.801656425E-2,5.747441394E-1
1.012236890E0,5.706434250E-1,1.712126732E-1,6.644572318E-2,5.994687082E-1
1.017252984E0,6.983842850E-1,1.924047470E-1,7.159470767E-2,7.279326881E-1
1.022269130E0,6.539726257E-1,1.989049911E-1,7.225108147E-2,6.873598835E-1
1.027285224E0,6.050395966E-1,1.575732231E-1,9.093614668E-2,6.318002982E-1
1.032301317E0,4.897956848E-1,1.279449463E-1,6.594363600E-2,5.105078699E-1
1.037317463E0,2.324962616E-1,1.044540405E-1,1.299085170E-1,2.860793265E-1
1.042333609E0,-1.538867950E-1,1.249012947E-1,2.191471905E-1,2.954775291E-1
1.047349703E0,-2.311620712E-1,7.792043686E-2,1.219779700E-1,2.727381947E-1
1.052365796E0,-1.987495422E-1,5.234050751E-2,-2.047249675E-2,2.065430521E-1
1.057381942E0,-2.093496323E-1,1.272010803E-2,-1.008964777E-1,2.327427096E-1
1.062398036E0,-1.675481796E-1,1.396989822E-2,-1.362441629E-1,2.164024549E-1
1.067414182E0,-1.568040848E-1,8.452415466E-3,-1.308739036E-1,2.044185485E-1
1.072430276E0,-1.958427429E-1,3.183507919E-2,-2.616028488E-2,2.001304892E-1
1.077446421E0,-3.316268921E-1,1.268167496E-1,1.388327181E-1,3.812261890E-1
1.082462515E0,-5.303535461E-1,2.210831642E-1,3.046225309E-1,6.503441672E-1
1.087478661E0,-7.750291824E-1,2.146177292E-1,3.430677056E-1,8.743148483E-1
1.092494755E0,-8.731136322E-1,1.411705017E-1,1.695662141E-1,9.005605067E-1
1.097510901E0,-7.522716522E-1,3.684616089E-2,-8.085350692E-2,7.575008699E-1
1.102526994E0,-4.546375275E-1,-4.813623428E-2,-2.462380528E-1,5.192740674E-1
1.107543140E0,-1.265239716E-1,-1.068096161E-1,-2.554392219E-1,3.044105871E-1
1.112559234E0,1.036758423E-1,-1.985850334E-1,-4.038085043E-2,2.276297627E-1
1.117575380E0,2.701578140E-1,-2.326478958E-1,2.836076915E-1,4.555695453E-1
1.122591474E0,3.098897934E-1,-1.585011482E-1,6.613089442E-1,7.473177489E-1
1.127607619E0,2.864284515E-1,1.022863388E-2,9.583979845E-1,1.000336233E0
1.132623713E0,7.506942749E-2,2.596826553E-1,1.082511187E0,1.115751303E0
1.137639859E0,-4.295568466E-1,4.939756393E-1,9.537689090E-1,1.156808605E0
1.142655953E0,-1.118549347E0,6.554880142E-1,6.148807406E-1,1.434885188E0
1.147672099E0,-1.810641289E0,7.339448929E-1,7.316730917E-2,1.955108805E0
1.152688192E0,-2.216828346E0,7.833256721E-1,-4.770016074E-1,2.399053471E0
1.157704338E0,-2.209467888E0,7.956590652E-1,-9.118012190E-1,2.519167156E0
1.162720432E0,-1.811248779E0,8.229727745E-1,-1.042826653E0,2.246195396E0
1.167736578E0,-1.174788475E0,8.808178902E-1,-8.628155589E-1,1.703061598E0
1.172752671E0,-4.770011902E-1,8.854565620E-1,-4.198000133E-1,1.089860317E0
1.177768817E0,1.249742508E-1,8.307204247E-1,1.191048324E-1,8.484697687E-1
1.182784911E0,5.199022293E-1,7.175459862E-1,6.242132187E-1,1.083887777E0
1.187801057E0,6.468763351E-1,5.298438072E-1,9.742683768E-1,1.283893424E0
1.192817151E0,6.024761200E-1,3.014616966E-1,1.036607981E0,1.236289908E0
1.197833296E0,3.586082458E-1,3.701162338E-2,8.472430706E-1,9.207554262E-1
1.202849390E0,8.523654938E-2,-1.944060326E-1,4.917702079E-1,5.356275872E-1
1.207865536E0,-1.295766830E-1,-3.623986244E-1,1.697846800E-1,4.206539163E-1
1.212881630E0,-2.885398865E-1,-4.267842770E-1,-2.027609944E-2,5.155688173E-1
1.217897776E0,-3.133058548E-1,-4.406104088E-1,-1.216360629E-1,5.541601057E-1
1.222913869E0,-2.114791870E-1,-3.919179440E-1,-1.249246895E-1,4.625249176E-1
1.227930015E0,1.161289215E-2,-2.500762939E-1,-1.192635596E-1,2.773027384E-1
1.232946109E0,2.457332611E-1,-1.253447533E-1,-1.436871290E-1,3.110339754E-1
1.237962255E0,4.573554993E-1,-1.079940796E-2,-1.942956150E-1,4.970326608E-1
1.242978349E0,6.273212433E-1,7.641839981E-2,-2.746172547E-1,6.890474227E-1
