"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.020118337E0,7.190459967E-2,-7.060508728E-1,1.644887924E-1,7.285153871E-1
1.025133805E0,9.590375423E-2,-5.811100006E-1,-4.435119629E-1,7.372850359E-1
1.030149222E0,7.174801826E-2,-4.611854553E-1,-6.975278854E-1,8.392764463E-1
1.035164639E0,5.927398801E-2,-3.495287895E-1,-5.893583298E-1,6.877695989E-1
1.040180108E0,6.118398905E-2,-3.821945190E-1,-3.779230118E-1,5.409638932E-1
1.045195524E0,7.985347509E-2,-4.598441124E-1,-3.488082886E-1,5.826666349E-1
1.050210993E0,1.128126085E-1,-5.761566162E-1,8.564758301E-2,5.933115872E-1
1.055226410E0,7.664158940E-2,-6.274051666E-1,2.343502045E-1,6.741151197E-1
1.060241826E0,1.287865043E-1,-5.715990067E-1,-9.841918945E-4,5.859286277E-1
1.065257295E0,9.260782599E-2,-6.698212624E-1,2.494554520E-1,7.207390342E-1
1.070272712E0,1.066854894E-1,-7.591662407E-1,3.686571121E-1,8.506604734E-1
1.075288128E0,1.067145467E-1,-7.998909950E-1,4.079608917E-1,9.042376278E-1
1.080303597E0,9.488171339E-2,-8.587207794E-1,6.036782265E-1,1.053959827E0
1.085319014E0,1.380617619E-1,-8.914523125E-1,5.063691139E-1,1.034484391E0
1.090334430E0,1.833892167E-1,-7.846159935E-1,1.281852722E-1,8.158954137E-1
1.095349899E0,8.318728209E-2,-6.711277962E-1,-2.540535927E-1,7.224097664E-1
1.100365316E0,1.216576695E-1,-5.713882446E-1,-4.486303329E-1,7.365828469E-1
1.105380785E0,1.216995120E-1,-7.239165306E-1,1.066446304E-2,7.341523311E-1
1.110396201E0,1.673220098E-1,-9.959859848E-1,8.463835716E-1,1.317706298E0
1.115411618E0,1.366897225E-1,-1.168181419E0,1.383155346E0,1.815613015E0
1.120427087E0,1.477936506E-1,-1.213531017E0,1.407278538E0,1.864117318E0
1.125442503E0,3.753961623E-1,-1.307215691E0,1.200946808E0,1.814389257E0
1.130457972E0,2.948938906E-1,-1.374988556E0,1.299618721E0,1.914827605E0
1.135473389E0,5.776381493E-2,-1.386406898E0,1.684043407E0,2.182077667E0
1.140488805E0,2.365136147E-1,-1.545400143E0,1.601538181E0,2.238107423E0
1.145504274E0,1.625834107E-1,-1.795008659E0,1.461306095E0,2.320324321E0
1.150519691E0,2.462153435E-1,-1.988000870E0,1.963599205E0,2.805083117E0
1.155535108E0,2.366877496E-1,-1.932938099E0,1.532106876E0,2.477826117E0
1.160550576E0,2.201361358E-1,-1.880652428E0,1.255799770E0,2.272079782E0
1.165565993E0,2.752616405E-1,-2.072470665E0,1.510265350E0,2.579109353E0
1.170581462E0,2.014523745E-1,-2.357299805E0,1.752463341E0,2.944244078E0
1.175596878E0,2.377833128E-1,-2.360916615E0,1.061770916E0,2.599581821E0
1.180612295E0,3.120079041E-1,-2.370825768E0,1.885389805E0,3.045136855E0
1.185627764E0,2.403934598E-1,-2.549787521E0,2.091699600E0,3.306722341E0
1.190643180E0,2.834146023E-1,-2.809247494E0,1.481033802E0,3.188362658E0
1.195658597E0,3.355598748E-1,-2.786879539E0,1.158542633E0,3.036695413E0
1.200674066E0,2.916252315E-1,-2.740254879E0,1.962339878E0,3.383019343E0
1.205689483E0,2.859072089E-1,-2.921176910E0,1.564299822E0,3.325966237E0
1.210704951E0,3.076103926E-1,-2.941896915E0,4.763031006E-2,2.958318823E0
1.215720368E0,2.431531549E-1,-2.749512672E0,5.992360115E-1,2.824540173E0
1.220735785E0,3.096740544E-1,-3.020482063E0,1.764314651E0,3.511697040E0
1.225751253E0,3.868637085E-1,-3.599008083E0,1.254317760E0,3.830905344E0
1.230766670E0,3.559677899E-1,-3.694065571E0,9.977248907E-1,3.842953092E0
1.235782087E0,3.836007714E-1,-3.554264545E0,1.719897509E0,3.967113995E0
1.240797555E0,4.030012786E-1,-3.698967934E0,1.101559162E0,3.880490483E0
1.245812972E0,4.883152246E-1,-4.059267044E0,1.016942739E0,4.213107313E0
1.250828441E0,2.858763933E-1,-4.334941864E0,1.577079535E0,4.621755742E0
1.255843858E0,3.599790633E-1,-4.224830151E0,1.140786409E0,4.390918851E0
1.260859274E0,6.254684925E-1,-4.099534035E0,-7.616353035E-2,4.147672964E0
1.265874743E0,4.876208603E-1,-3.955987453E0,-3.911991119E-1,4.005077725E0
1.270890160E0,2.993199825E-1,-4.107845306E0,2.898231745E-1,4.128920317E0
1.275905576E0,6.588709354E-1,-4.519926548E0,6.019511223E-1,4.607189172E0
1.280921045E0,5.956286788E-1,-4.671401501E0,4.590866566E-1,4.731545843E0
1.285936462E0,4.120005369E-1,-4.396490574E0,-2.660858631E-1,4.423762595E0
1.290951930E0,3.920486867E-1,-4.123112679E0,-7.722091675E-1,4.213082877E0
1.295967347E0,5.303203464E-1,-4.337238789E0,-3.857748508E-1,4.386536471E0
1.300982764E0,6.593380570E-1,-4.671229362E0,-3.240294456E-1,4.728647324E0
1.305998233E0,4.782846570E-1,-4.436083794E0,-1.152437210E0,4.608221692E0
1.311013649E0,3.707280159E-1,-4.048964977E0,-1.503112316E0,4.334847550E0
1.316029118E0,4.724889696E-1,-3.907346964E0,-2.287148952E0,4.552104618E0
1.321044535E0,5.821837187E-1,-3.870943546E0,-2.223290920E0,4.501795679E0
