"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
3.556300030E-1,-1.849187374E0,2.993151546E-2,1.382041909E-2,1.849481237E0
3.581379200E-1,-1.913937211E0,2.443389036E-2,1.931804419E-2,1.914190651E0
3.606458370E-1,-1.981130362E0,3.298575059E-2,1.992889121E-2,1.981505168E0
3.631538060E-1,-2.048323631E0,2.260134928E-2,2.176143415E-2,2.048563907E0
3.656617220E-1,-2.117960215E0,2.870982140E-2,2.359397523E-2,2.118286194E0
3.681696390E-1,-2.184542418E0,3.115320951E-2,2.176143415E-2,2.184872915E0
3.706776080E-1,-2.251124859E0,3.542914242E-2,2.298312820E-2,2.251520948E0
3.731855240E-1,-2.311598778E0,3.359659761E-2,2.420482226E-2,2.311969618E0
3.756934410E-1,-2.373905182E0,3.787253052E-2,2.481566928E-2,2.374336951E0
3.782014100E-1,-2.430713892E0,3.787253052E-2,2.603736520E-2,2.431148350E0
3.807093260E-1,-2.486300945E0,3.726168349E-2,2.603736520E-2,2.486716463E0
3.832172430E-1,-2.538223028E0,3.726168349E-2,2.542651631E-2,2.538623856E0
3.857252120E-1,-2.582204103E0,3.665083647E-2,2.725905925E-2,2.582608056E0
3.882331280E-1,-2.621298313E0,3.603998944E-2,2.786990628E-2,2.621694196E0
3.907410450E-1,-2.665890217E0,4.337015375E-2,3.642176837E-2,2.666491733E0
3.932490140E-1,-2.701930046E0,3.970507160E-2,2.970244735E-2,2.702385003E0
3.957569310E-1,-2.737359285E0,4.092676565E-2,2.542651631E-2,2.737783294E0
3.982648470E-1,-2.759960651E0,3.787253052E-2,3.153498843E-2,2.760400620E0
4.007728160E-1,-2.785616159E0,3.848337755E-2,3.153498843E-2,2.786060447E0
4.032807330E-1,-2.810660839E0,4.642439261E-2,2.909160033E-2,2.811194746E0
4.057886490E-1,-2.832040548E0,4.031591862E-2,2.359397523E-2,2.832425765E0
4.082966180E-1,-2.855252743E0,4.398100078E-2,3.153498843E-2,2.855765573E0
4.108045350E-1,-2.876632452E0,4.214845970E-2,3.336753324E-2,2.877134712E0
4.133124510E-1,-2.905953169E0,4.275930673E-2,2.725905925E-2,2.906395574E0
4.158204200E-1,-2.927943707E0,4.031591862E-2,2.848075330E-2,2.928359758E0
4.183283370E-1,-2.958486080E0,4.214845970E-2,3.275668249E-2,2.958967621E0
4.208362530E-1,-2.992082596E0,4.337015375E-2,3.153498843E-2,2.992563063E0
4.233442220E-1,-3.024457455E0,4.214845970E-2,2.909160033E-2,3.024891024E0
4.258521390E-1,-3.056221485E0,4.459185153E-2,3.153498843E-2,3.056709449E0
4.283600560E-1,-3.091650724E0,4.214845970E-2,3.153498843E-2,3.092098826E0
4.308680240E-1,-3.128912449E0,4.520269856E-2,3.153498843E-2,3.129397842E0
4.333759410E-1,-3.162508965E0,4.092676565E-2,3.214583546E-2,3.162937133E0
4.358838580E-1,-3.191829681E0,4.092676565E-2,3.153498843E-2,3.192247824E0
4.383918260E-1,-3.220539570E0,3.909422457E-2,3.153498843E-2,3.220931222E0
4.408997430E-1,-3.252914429E0,4.703523964E-2,3.458922729E-2,3.253438336E0
4.434076600E-1,-3.276737452E0,4.398100078E-2,3.458922729E-2,3.277215139E0
4.459156280E-1,-3.303003788E0,4.703523964E-2,3.581092134E-2,3.303532770E0
4.484235450E-1,-3.331713676E0,5.192201585E-2,3.458922729E-2,3.332297756E0
4.509314620E-1,-3.358590841E0,4.337015375E-2,3.397838026E-2,3.359042712E0
4.534394310E-1,-3.381192207E0,4.642439261E-2,3.458922729E-2,3.381687801E0
4.559473470E-1,-3.403793573E0,4.703523964E-2,3.458922729E-2,3.404294261E0
4.584552640E-1,-3.425784111E0,4.703523964E-2,3.275668249E-2,3.426263576E0
4.609632330E-1,-3.446552992E0,5.070032179E-2,3.336753324E-2,3.447087385E0
4.634711490E-1,-3.464878321E0,5.008947477E-2,3.764346242E-2,3.465444815E0
4.659790660E-1,-3.486868858E0,5.008947477E-2,3.886515647E-2,3.487445181E0
4.684870350E-1,-3.506416082E0,4.764608666E-2,3.520007432E-2,3.506916443E0
4.709949510E-1,-3.526573896E0,4.947862774E-2,3.764346242E-2,3.527121859E0
4.735028680E-1,-3.541845083E0,4.886778072E-2,3.642176837E-2,3.542369433E0
4.760108370E-1,-3.557727098E0,4.703523964E-2,3.825430945E-2,3.558243642E0
4.785187530E-1,-3.570554972E0,5.253286287E-2,3.458922729E-2,3.571108921E0
4.810267220E-1,-3.579106808E0,5.192201585E-2,3.642176837E-2,3.579668697E0
