"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
5.635507380E-1,-6.449783444E-1,9.849912487E-3,7.711946499E-3,6.450996510E-1
5.660586540E-1,-6.474217176E-1,9.239064530E-3,8.933641016E-3,6.475492651E-1
5.685665710E-1,-6.559736133E-1,9.239064530E-3,4.046862945E-3,6.560511556E-1
5.710744880E-1,-6.669688225E-1,1.046075951E-2,5.268557463E-3,6.670716568E-1
5.735824040E-1,-6.730773449E-1,9.849912487E-3,4.657710437E-3,6.731655274E-1
5.760903210E-1,-6.816291809E-1,1.046075951E-2,5.268557463E-3,6.817298038E-1
5.785982380E-1,-6.938461065E-1,1.107160654E-2,7.711946499E-3,6.939772865E-1
5.811062060E-1,-7.017871737E-1,1.046075951E-2,7.711946499E-3,7.019075002E-1
5.836140710E-1,-7.066739202E-1,1.107160654E-2,7.711946499E-3,7.068027193E-1
5.861220400E-1,-7.103390098E-1,9.239064530E-3,5.268557463E-3,7.104186279E-1
5.886299560E-1,-7.085064650E-1,8.628217503E-3,7.101099472E-3,7.085945827E-1
5.911378730E-1,-7.085064650E-1,1.168245357E-2,9.544488043E-3,7.086670501E-1
5.936457900E-1,-7.011762857E-1,1.046075951E-2,9.544488043E-3,7.013192628E-1
5.961537060E-1,-6.920135617E-1,8.017370477E-3,8.322793990E-3,6.921100467E-1
5.986616230E-1,-6.810183525E-1,1.473669056E-2,7.711946499E-3,6.812214329E-1
6.011695400E-1,-6.718556285E-1,1.718007959E-2,5.268557463E-3,6.720958997E-1
6.036774560E-1,-6.578061581E-1,1.290414855E-2,5.268557463E-3,6.579538102E-1
6.061853730E-1,-6.437566280E-1,1.351499557E-2,7.711946499E-3,6.439446602E-1
6.086932900E-1,-6.303179860E-1,1.229330152E-2,6.490251981E-3,6.304712619E-1
6.112012060E-1,-6.113817692E-1,8.628217503E-3,7.711946499E-3,6.114912820E-1
6.137091750E-1,-5.967214108E-1,8.628217503E-3,5.268557463E-3,5.968070424E-1
6.162170920E-1,-5.796176791E-1,1.351499557E-2,4.657710437E-3,5.797939318E-1
6.187250090E-1,-5.606814027E-1,1.290414855E-2,4.657710437E-3,5.608492192E-1
6.212329250E-1,-5.393017530E-1,1.473669056E-2,2.825168660E-3,5.395104563E-1
6.237408420E-1,-5.179221034E-1,7.406522986E-3,8.322793990E-3,5.180419198E-1
6.262487590E-1,-5.020400882E-1,6.184828468E-3,6.490251981E-3,5.021201307E-1
6.287566750E-1,-4.782170355E-1,8.628217503E-3,6.490251981E-3,4.783388993E-1
6.312645920E-1,-4.537831545E-1,8.017370477E-3,4.046862945E-3,4.538720157E-1
6.337725090E-1,-4.330143631E-1,8.017370477E-3,4.046862945E-3,4.331074854E-1
6.362804250E-1,-4.073587656E-1,1.046075951E-2,2.825168660E-3,4.075028503E-1
6.387883420E-1,-3.810923398E-1,1.290414855E-2,4.046862945E-3,3.813322247E-1
6.412962590E-1,-3.542150557E-1,6.795675959E-3,5.879404955E-3,3.543290198E-1
6.438041750E-1,-3.273377717E-1,8.628217503E-3,5.879404955E-3,3.275042447E-1
6.463121440E-1,-2.943520248E-1,4.352286924E-3,4.657710437E-3,2.944210440E-1
6.488200610E-1,-2.613662779E-1,1.908897655E-3,1.603474026E-3,2.613781671E-1
6.513279770E-1,-2.271588296E-1,3.741439432E-3,2.825168660E-3,2.272072045E-1
6.538358940E-1,-1.923405379E-1,8.628217503E-3,3.817795368E-4,1.925343461E-1
6.563438110E-1,-1.538571566E-1,4.352286924E-3,9.926267667E-4,1.539219034E-1
6.588517270E-1,-1.147629321E-1,6.795675959E-3,3.817795368E-4,1.149645926E-1
6.613596440E-1,-7.383616269E-2,7.635590737E-5,2.825168660E-3,7.389023162E-2
6.638675610E-1,-3.046600707E-2,7.635590737E-5,1.603474026E-3,3.050827012E-2
6.663754770E-1,1.351499557E-2,1.908897655E-3,-1.450762269E-3,1.372602298E-2
6.688833940E-1,5.627430230E-2,3.741439432E-3,-8.399150101E-4,5.640479524E-2
6.713913110E-1,1.008661538E-1,3.130592173E-3,-2.672456671E-3,1.009501046E-1
6.738992790E-1,1.485885978E-1,2.519744914E-3,-8.399150101E-4,1.486123345E-1
6.764071440E-1,1.974563748E-1,7.635590737E-5,-3.894151188E-3,1.974947852E-1
6.789151130E-1,2.457133085E-1,1.908897655E-3,-8.399150101E-4,2.457221587E-1
6.814230290E-1,2.976353168E-1,-1.145338640E-3,-3.283303929E-3,2.976556294E-1
6.839309460E-1,3.471139669E-1,-1.756185899E-3,-5.115845706E-3,3.471561063E-1
6.864388630E-1,3.923166394E-1,-2.367033157E-3,-6.337540224E-3,3.923749646E-1
6.889467790E-1,4.350759685E-1,-3.588727675E-3,-4.504998680E-3,4.351140912E-1
6.914546960E-1,4.766135812E-1,-3.588727675E-3,-3.894151188E-3,4.766429997E-1
6.939626130E-1,5.114318728E-1,-5.421269219E-3,-4.504998680E-3,5.114804451E-1
6.964705290E-1,5.462501645E-1,-7.253811229E-3,-3.283303929E-3,5.463081915E-1
6.989784460E-1,5.749599934E-1,-2.977880416E-3,-5.726693198E-3,5.749962233E-1
7.014863630E-1,6.024481058E-1,-7.864658721E-3,-7.559234742E-3,6.025468572E-1
7.039942790E-1,6.268820167E-1,-9.697199799E-3,-6.948387716E-3,6.269955172E-1
7.065022480E-1,6.513158679E-1,-8.475505747E-3,-8.170082234E-3,6.514222473E-1
7.090101650E-1,6.733064055E-1,-6.642963737E-3,-6.337540224E-3,6.733689992E-1
7.115180810E-1,6.959077120E-1,-1.091889478E-2,-5.115845706E-3,6.960121678E-1
7.140259980E-1,7.160657048E-1,-8.475505747E-3,-8.170082234E-3,7.161624662E-1
7.165339150E-1,7.386670709E-1,-7.864658721E-3,-9.391776286E-3,7.387686376E-1
