"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
4.957621420E-1,-4.629611492E0,6.925480813E-2,5.711421743E-2,4.630481706E0
4.982700060E-1,-4.735898972E0,6.925480813E-2,5.467082933E-2,4.736720827E0
5.007779230E-1,-4.839131832E0,6.864395738E-2,5.222744122E-2,4.839900473E0
5.032858400E-1,-4.940532684E0,7.047650218E-2,5.283828825E-2,4.941317843E0
5.057937560E-1,-5.038878918E0,6.681142002E-2,5.344913527E-2,5.039605275E0
5.083016210E-1,-5.128062725E0,6.742226332E-2,5.589252338E-2,5.128810491E0
5.108095380E-1,-5.211748600E0,6.742226332E-2,5.833591148E-2,5.212511133E0
5.133174540E-1,-5.298489094E0,7.597412914E-2,5.833591148E-2,5.299354850E0
5.158253710E-1,-5.376066685E0,7.658497244E-2,5.894676223E-2,5.376935277E0
5.183332350E-1,-5.451200962E0,7.536327839E-2,5.772506446E-2,5.452027489E0
5.208411520E-1,-5.521448135E0,7.475243509E-2,6.200099736E-2,5.522302198E0
5.233490690E-1,-5.589252472E0,7.658497244E-2,6.322269142E-2,5.590134664E0
5.258569850E-1,-5.652780533E0,7.414158434E-2,6.566607952E-2,5.653648093E0
5.283649020E-1,-5.713254452E0,7.475243509E-2,6.749862432E-2,5.714142142E0
5.308727670E-1,-5.772506714E0,8.574768156E-2,6.749862432E-2,5.773538126E0
5.333806830E-1,-5.828704357E0,8.391514421E-2,6.749862432E-2,5.829699160E0
5.358886000E-1,-5.882459164E0,8.330429345E-2,6.505523622E-2,5.883408672E0
5.383965170E-1,-5.934381008E0,8.269345015E-2,6.566607952E-2,5.935320395E0
5.409043810E-1,-5.986914158E0,8.269345015E-2,6.383354217E-2,5.987825487E0
5.434122980E-1,-6.032116890E0,8.208259940E-2,6.688777357E-2,6.033046138E0
5.459202150E-1,-6.073043346E0,7.780666649E-2,6.872031838E-2,6.073930511E0
5.484281310E-1,-6.118856907E0,8.452598751E-2,7.238540053E-2,6.119868801E0
5.509359960E-1,-6.165892124E0,8.758022636E-2,7.116370648E-2,6.166924700E0
5.534439130E-1,-6.206819057E0,8.025006205E-2,6.810946763E-2,6.207711477E0
5.559518290E-1,-6.239804745E0,7.902836055E-2,6.566607952E-2,6.240650669E0
5.584597460E-1,-6.269736290E0,7.658497244E-2,6.994201243E-2,6.270594094E0
5.609676100E-1,-6.303943634E0,8.269345015E-2,6.872031838E-2,6.304860508E0
5.634755270E-1,-6.337540150E0,8.758022636E-2,6.933116168E-2,6.338524454E0
5.659834440E-1,-6.360752583E0,8.941277117E-2,7.055285573E-2,6.361772219E0
5.684913600E-1,-6.383964539E0,8.147175610E-2,7.116370648E-2,6.384880982E0
5.709992770E-1,-6.409009457E0,8.696937561E-2,7.299624383E-2,6.410015159E0
5.735071420E-1,-6.431610584E0,8.696937561E-2,7.055285573E-2,6.432585490E0
5.760150580E-1,-6.451158047E0,9.002361447E-2,6.627693027E-2,6.452126551E0
5.785229750E-1,-6.462152958E0,8.391514421E-2,6.810946763E-2,6.463056669E0
5.810308920E-1,-6.483532906E0,8.941277117E-2,7.299624383E-2,6.484560281E0
5.835387560E-1,-6.503690720E0,9.185615927E-2,7.238540053E-2,6.504742130E0
5.860466730E-1,-6.520183563E0,8.574768156E-2,7.299624383E-2,6.521155942E0
5.885545900E-1,-6.534233093E0,8.452598751E-2,7.360709459E-2,6.535194317E0
5.910625060E-1,-6.545839310E0,9.246700257E-2,7.482878864E-2,6.546920021E0
5.935704230E-1,-6.553780079E0,8.452598751E-2,6.872031838E-2,6.554685381E0
5.960782880E-1,-6.562942982E0,8.513683826E-2,7.116370648E-2,6.563880951E0
5.985862040E-1,-6.570272923E0,9.552124143E-2,6.933116168E-2,6.571333000E0
6.010941210E-1,-6.573327541E0,9.246700257E-2,7.299624383E-2,6.574383132E0
6.036020380E-1,-6.575160027E0,9.002361447E-2,8.399149776E-2,6.576312660E0
6.061099020E-1,-6.580046654E0,9.124530852E-2,8.093725890E-2,6.581176985E0
6.086178190E-1,-6.582489967E0,9.246700257E-2,7.727217674E-2,6.583592887E0
6.111257350E-1,-6.576992512E0,8.513683826E-2,6.994201243E-2,6.577915374E0
6.136336520E-1,-6.573327541E0,8.574768156E-2,7.177454978E-2,6.574278608E0
6.161415170E-1,-6.576381683E0,9.307785332E-2,6.872031838E-2,6.577399335E0
6.186494330E-1,-6.575160027E0,9.002361447E-2,6.627693027E-2,6.576110268E0
6.211573500E-1,-6.570272923E0,8.452598751E-2,7.116370648E-2,6.571201959E0
6.236652670E-1,-6.566607952E0,8.819106966E-2,7.543963939E-2,6.567633425E0
6.261731830E-1,-6.564164639E0,9.002361447E-2,7.421794534E-2,6.565201441E0
6.286810480E-1,-6.552558422E0,9.307785332E-2,7.727217674E-2,6.553675026E0
6.311889650E-1,-6.540341377E0,8.758022636E-2,7.299624383E-2,6.541335038E0
6.336968810E-1,-6.529957294E0,8.758022636E-2,7.177454978E-2,6.530938994E0
6.362047980E-1,-6.525070190E0,9.002361447E-2,6.933116168E-2,6.526059458E0
6.387126630E-1,-6.513464451E0,8.452598751E-2,7.116370648E-2,6.514401589E0
